Year,PERIODO ,SUCRE,LA PAZ,COCHABAMBA,ORURO,TARIJA,SANTA CRUZ ,TRINIDAD,COBIJA,EL ALTO ,SUCRE
2013,Febrero,14.8,13,18.7,12.5,20.6,27.3,27.4,26.7,9.1,14.8
2013,Marzo,15.3,14.3,20.3,12.6,19.3,25.6,26.8,26.9,9.3,15.3
2013,Abril,13.9,13.6,17.9,9.5,18.6,23.7,25.8,26.5,7.9,13.9
2013,Mayo,14.1,12.2,17,8,17.4,22.3,24.7,25.6,7.2,14.1
2013,Junio,12.3,10.3,14.3,5.3,15.2,20.6,24,26.3,5.1,12.3
2013,Julio,12.7,10.9,15.5,7,,20.5,23.1,24.3,5.4,12.7
2013,Agosto,13,11.7,16.2,6.6,13.6,20.4,22.9,24.6,5.9,13
2013,Septiembre,15.1,12.9,18.2,9.1,17.9,23.6,25.8,27,7.5,15.1
2013,Octubre,15.4,14.2,20.1,11.3,19.7,25.3,26.3,27,9.2,15.4
2013,Noviembre,16,14.9,20.6,13.4,21,26.2,26.7,27.1,10.2,16
2013,Diciembre,15.9,14.1,19.3,12.8,22.3,27.7,27.3,27.4,9.6,15.9
2014,Enero ,15.2,13,19,12.2,21.8,25.3,26.1,26.2,9.1,15.2
2014,Febrero,15.1,13.8,18.9,12.6,20.9,25.1,26.2,26.3,9.5,15.1
2014,Marzo,15.3,14,19.5,12.5,19.7,25,26.7,26.6,9.2,15.3
2014,Abril,15.1,13.4,18.8,11.4,19.6,24.9,27.1,26.7,8.4,15.1
2014,Mayo,13.6,12.6,16.7,7.5,16.6,22.1,24.9,25.6,6.8,13.6
2014,Junio,13.7,12.2,15.6,5.8,14.7,20.4,23.8,25.4,12.5,13.7
2014,Julio,13,11.2,15.2,5.3,13.7,19.8,22,24.1,12.5,13
2014,Agosto,13.4,11.6,16.4,7.2,,23.7,25.3,26.2,6.4,13.4
2014,Septiembre,15.7,12.3,18.1,9.7,20.3,26.7,28.3,28.2,8,15.7
2014,Octubre,16,13.6,19.5,11.6,22.4,28.4,29.4,27.9,8.7,16
2014,Noviembre,16.7,15,20.4,12.5,20.8,26,27.4,27.3,9.9,16.7
2014,Diciembre,16.6,14.3,20.4,13.1,21.6,25.7,26.8,26.8,9.9,16.6
2015,Enero ,14.6,12.1,18.6,11.6,21,26.5,27,26.5,8.6,14.6
2015,Febrero,15.5,13.2,19.1,12.5,21.4,26.4,26.9,26.7,9.5,15.5
